國文,英文,數學,社會,自然
15,13,6,7,6
7,14,14,13,6
13,9,6,6,11
15,10,8,10,7
15,8,8,10,7
15,13,15,12,6
10,8,12,13,11
10,13,10,10,11
6,9,13,7,11
15,14,9,11,7
8,13,14,15,8
6,13,13,6,10
10,14,10,12,8
7,8,10,9,15
7,8,8,10,8
7,11,10,12,11
11,15,13,7,11
6,7,6,7,12
12,7,9,15,10
11,13,11,14,6
7,8,15,6,10
13,10,9,10,10
11,8,8,13,9
12,14,14,10,14
15,7,14,10,14
14,8,10,8,9
8,15,11,14,6
8,15,15,11,13
15,6,13,7,11
11,6,8,12,11
12,12,13,9,9
14,12,9,11,15
8,11,15,13,14
8,6,6,7,15
8,11,11,9,13
10,15,11,15,14
6,10,9,13,8
12,10,8,12,11
12,9,11,7,12
6,11,7,14,14
14,6,8,9,12
7,14,14,13,12
12,8,13,12,13
12,15,7,7,6
7,14,10,10,13
15,6,9,9,9
12,11,9,7,12
14,15,7,13,12
10,14,14,13,15
15,7,7,12,14
14,8,7,6,15
6,6,13,11,7
14,10,7,12,11
12,6,6,7,6
6,9,8,6,8
6,7,11,8,6
8,12,12,10,10
9,13,13,15,13
10,13,6,7,15
10,6,10,14,9
14,12,9,14,14
14,11,7,10,12
12,9,12,11,10
11,7,6,7,10
8,12,9,11,11
11,15,15,15,12
11,10,8,8,13
13,6,8,7,14
14,15,10,6,8
13,14,14,7,12
7,14,13,11,13
15,8,7,14,10
13,13,7,9,12
8,15,8,6,13
15,14,10,14,12
9,15,15,13,10
9,13,14,13,10
10,12,11,6,6
15,6,10,14,12
11,6,15,13,11
7,12,13,7,7
7,7,7,9,10
13,15,12,9,6
6,13,9,13,8
14,9,7,15,12
9,12,14,8,11
13,8,13,15,10
13,11,7,14,15
8,13,8,15,13
10,14,10,14,13
14,14,11,9,7
8,15,8,9,7
8,7,13,13,13
12,6,9,15,6
11,10,6,13,7
12,8,14,6,10
9,10,14,7,10
8,14,10,6,9
6,11,12,12,8
14,15,7,15,15
